label,radial_disp_um,xdisp_mm,ydisp_mm,src_radius_mm,hits_TL,hits_ML,hits_BL,hits_TR,hits_MR,hits_BR
r100_x-5_y5_R1.25,100,-5,5,1.25,102398149,101682870,95631553,98659323,93384541,91260373

r100_x-5_y5_R15,100,-5,5,15,102343646,101795120,95601640,98752439,93346878,91375379

r100_x-2.5_y-5_R1.25,100,-2.5,-5,1.25,94803911,99358336,101465518,92317290,95209359,99885676

r100_x-2.5_y-5_R15,100,-2.5,-5,15,94761120,99452552,101380653,92428625,95183751,100040472

r100_x-2.5_y-2.5_R1.25,100,-2.5,-2.5,1.25,96446996,99406774,99761897,94169998,95277788,97941320

r100_x-2.5_y-2.5_R15,100,-2.5,-2.5,15,96415724,99517228,99726610,94280155,95245359,98042289

r100_x-2.5_y0_R1.25,100,-2.5,0,1.25,98077262,99439385,98099766,96047181,95306410,96037974

r100_x-2.5_y0_R15,100,-2.5,0,15,98037882,99538119,98035039,96125580,95256714,96137324

r100_x-2.5_y2.5_R1.25,100,-2.5,2.5,1.25,99767467,99419776,96461636,97934983,95267235,94137241

r100_x-2.5_y2.5_R15,100,-2.5,2.5,15,99702586,99518546,96391836,98064490,95263475,94270295

r100_x-2.5_y5_R1.25,100,-2.5,5,1.25,101438730,99338831,94810554,99888457,95205402,92303996

r100_x-2.5_y5_R15,100,-2.5,5,15,101364869,99473850,94764602,100020101,95162777,92417662

r100_x0_y-5_R1.25,100,0,-5,1.25,93932557,97073180,100460285,93349374,97057047,101125108

r100_x0_y-5_R15,100,0,-5,15,93919959,97170529,100401011,93455408,97037822,101252873

r100_x0_y-2.5_R1.25,100,0,-2.5,1.25,95562115,97133718,98813623,95252709,97142133,99126299

r100_x0_y-2.5_R15,100,0,-2.5,15,95508534,97250273,98748510,95325575,97089951,99245732

r100_x0_y0_R1.25,100,0,0,1.25,97170802,97143221,97162559,97142048,97155880,97151819

r100_x0_y0_R15,100,0,0,15,97123994,97275051,97130496,97270251,97122528,97262783

r100_x0_y2.5_R1.25,100,0,2.5,1.25,98803425,97119037,95554646,99128828,97118581,95239977

r100_x0_y2.5_R15,100,0,2.5,15,98740574,97247363,95527722,99240824,97106030,95338060

r100_x0_y5_R1.25,100,0,5,1.25,100459658,97068082,93944715,101125749,97054748,93358125

r100_x0_y5_R15,100,0,5,15,100393072,97172575,93921315,101244462,97042711,93463990

r100_x2.5_y-5_R1.25,100,2.5,-5,1.25,93059304,94853866,99428958,94376943,98974928,102342188

r100_x2.5_y-5_R15,100,2.5,-5,15,93042354,94945331,99370985,94486538,98900509,102474564

r100_x2.5_y-2.5_R1.25,100,2.5,-2.5,1.25,94628894,94933610,97823246,96299984,99029924,100270882

r100_x2.5_y-2.5_R15,100,2.5,-2.5,15,94606807,95024579,97771601,96417448,99003210,100397370

r100_x2.5_y0_R1.25,100,2.5,0,1.25,96194660,94945567,96215462,98263852,99047793,98265378

r100_x2.5_y0_R15,100,2.5,0,15,96188923,95061573,96174946,98392251,99022234,98379970

r100_x2.5_y2.5_R1.25,100,2.5,2.5,1.25,97826104,94916586,94642579,100290205,99029512,96302388

r100_x2.5_y2.5_R15,100,2.5,2.5,15,97781080,95041442,94615193,100414697,98972986,96404059

r100_x2.5_y5_R1.25,100,2.5,5,1.25,99426075,94850656,93074960,102347289,98975889,94354185

r100_x2.5_y5_R15,100,2.5,5,15,99391472,94961206,93036431,102456923,98904931,94471697

r100_x5_y-5_R1.25,100,5,-5,1.25,92154999,92707167,98372796,95380797,100881803,103540096

r100_x5_y-5_R15,100,5,-5,15,92136808,92820384,98336691,95480120,100814698,103674038

r100_x5_y-2.5_R1.25,100,5,-2.5,1.25,93697206,92779310,96815228,97347726,100953867,101426786

r100_x5_y-2.5_R15,100,5,-2.5,15,93656012,92891948,96756295,97462963,100884689,101557049

r100_x5_y0_R1.25,100,5,0,1.25,95246617,92819438,95236484,99357093,100983436,99369195

r100_x5_y0_R15,100,5,0,15,95189381,92912136,95190128,99483922,100912516,99476449

r100_x5_y2.5_R1.25,100,5,2.5,1.25,96802790,92779397,93697942,101433497,100969537,97349062

r100_x5_y2.5_R15,100,5,2.5,15,96765944,92888589,93671965,101549213,100922028,97460030

r100_x5_y5_R1.25,100,5,5,1.25,98384486,92732128,92174588,103560880,100900619,95361993

r100_x5_y5_R15,100,5,5,15,98330138,92806591,92141171,103669812,100842616,95482783

r0_x-5_y-5_R1.25,0,-5,-5,1.25,95710309,101771688,102509099,91333163,93460358,98737457

r0_x-5_y-5_R15,0,-5,-5,15,95667429,101900426,102426470,91439469,93432120,98835621

r0_x-5_y-2.5_R1.25,0,-5,-2.5,1.25,97380951,101859164,100765984,93147087,93530349,96816652

r0_x-5_y-2.5_R15,0,-5,-2.5,15,97298764,101995874,100704763,93237602,93490479,96954298

r0_x-5_y0_R1.25,0,-5,0,1.25,99048828,101880550,99045079,94966530,93536133,94956361

r0_x-5_y0_R15,0,-5,0,15,99011403,101998801,99007736,95088783,93525646,95063306

r0_x-5_y2.5_R1.25,0,-5,2.5,1.25,100798141,101860062,97373922,96825175,93539090,93133155

r0_x-5_y2.5_R15,0,-5,2.5,15,100703771,101995879,97332919,96938107,93501916,93265531

r0_x-5_y5_R1.25,0,-5,5,1.25,102483447,101792788,95707886,98735265,93444914,91354997

r0_x-5_y5_R15,0,-5,5,15,102416447,101886338,95675432,98850719,93451577,91445800

r0_x-2.5_y-5_R1.25,0,-2.5,-5,1.25,94887603,99428868,101535416,92403242,95292918,100000570

r0_x-2.5_y-5_R15,0,-2.5,-5,15,94846263,99536237,101472829,92520243,95259734,100101512

